,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec014_nation_cd,과정,수료년도,수료학기,rec014_birth_dt,졸업년도,졸업학기,gpa,rec014_school_term,서류점수,면접점수,학부출신,대학원출신,인건비총액,월별인건비
155,157,2561,AAGAqaOHwEA7500VRGJTLSL/,공과대학,공학,1,군위탁생,졸업,전기전자공학과,반도체 및 나노전공,AAEClPAQjORZKayEf40sZEcD,korean,박사과정,2017,1R,19801004,2019,1R,4.42,8,47.9,46.7,타교,타교,,0
176,178,2753,AAGrhAntcCfK0A5z/LGAVjtt,공과대학,공학,1,정원내신입학,졸업,마이크로/나노시스템협동과정,마이크로/나노시스템협동과정전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,박사과정,2018,1R,19850424,2019,1R,4.29,6,47,47,타교,타교,,0
190,192,2939,AAH5pkxW9peKuO2SROBr9oTy,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,건설시스템 경영 및 관리,AAHpBFe+EZ/b+4BrGFPFBGbo,korean,박사과정,2017,1R,19720804,2018,2R,4.46,7,49.33,49,타교,타교,,0
192,194,2944,AAEd9IJvU1giJDqQMUaOgre+,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,집적회로전공,AAFPtasdSmFiolLbQlDDSvRe,korean,박사과정,2017,1R,19750910,2018,2R,4.17,7,45,46,타교,타교,,0
196,198,2991,AAE7eO8A/oCtrjHhK5GmAPcu,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFukyr7xBbs8UJxDmTihFIk,korean,박사과정,2017,1R,19811030,2019,2R,4.33,9,47,48,자교,타교,,0
198,200,2995,AAFMIswOtuGHHpy8BMpOVsrV,공과대학,공학,1,정원내신입학,졸업,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,박사과정,2018,2R,19880630,2019,2R,4.42,6,47.3,47.6,타교,자교,62260432,1729456
210,212,3296,AAG2XfBOQoLw96TuINUsd2cZ,공과대학,공학,2,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAHbfpe13iYQFP6H7+l+dBws,korean,박사과정,2017,2R,19900816,2019,2R,4.06,8,53.33,37.67,자교,자교,103993490,2166531
211,213,3297,AAHMzOUlU903M+dgDgJF9lXL,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGaCMeTjNaKuSWvzyinL5sl,korean,박사과정,2017,2R,19800511,2019,2R,3.93,8,57,38,타교,타교,,0
215,217,3318,AAHFvN/3Ps5ksNb90CNLLN1a,공과대학,공학,1,정원내신입학,졸업,화공생명공학과,화공생명공학전공,AAGcoq+H8FFez0FhSoCIP7Pb,korean,박사과정,2018,1R,19800523,2019,2R,4.5,7,60,32.7,타교,타교,,0
217,219,3324,AAFWANyM/g+OA39tGm4D0dxB,공과대학,공학,1,정원내신입학,졸업,신소재공학과,신소재공학전공,AAF1qK1VjAd7Et0WDMAYCWmi,korean,박사과정,2017,2R,19851023,2019,2R,3.71,8,57,40,타교,타교,90510000,1885625
225,227,3358,AAGO1buk7j/5iPaiCzvra0/D,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,물과 환경전공,AAEhofQwTVQKctfpDuG/lbed,korean,박사과정,2017,1R,19820530,2019,2R,3.69,9,45.67,48.33,타교,타교,90342450,1673008
226,228,3359,AAFOQ27zjC4pTSSPEnT/B8VX,공과대학,공학,1,외국인,졸업,건축사회환경공학과,사회인프라전공,AAHVEHlNvzWQFCLtWNufAFQh,foreigner,박사과정,2017,1R,19890719,2019,2R,4.14,9,99,,타교,자교,125473568,2323585
232,234,3385,AAHqhVM+8U7kJ0ERwUgGzOd1,공과대학,공학,1,정원내신입학,졸업,건축사회환경공학과,사회인프라전공,AAHpTShsDJo8lel4DbFdlag7,korean,박사과정,2018,1R,19861208,2019,2R,3.85,8,49,49.67,타교,자교,96240011,2005000
